purchase_id,category,price,purchase_datetime,hour_of_day,day_of_week,is_weekend,is_late_night,time_on_page_seconds,is_impulse_buy,num_page_visits,was_on_sale,outcome,days_until_return,regret_probability
PUR-821024,clothing,92.87,2025-01-09 22:42:57,22,Thursday,False,True,750,False,7,False,returned,21.0,0.772
PUR-578634,shoes,226.39,2025-10-05 03:40:57,3,Sunday,True,False,195,False,8,True,returned,4.0,0.85
PUR-742412,electronics,651.06,2024-12-22 00:19:57,0,Sunday,True,True,624,False,6,False,kept,,0.85
PUR-980660,sports,336.46,2025-02-21 01:57:57,1,Friday,False,True,177,False,8,False,kept,,0.684
PUR-345884,home_goods,233.26,2025-03-07 01:14:57,1,Friday,False,True,259,False,5,False,kept,,0.713
PUR-167348,home_goods,110.72,2025-02-25 14:46:57,14,Tuesday,False,False,169,False,4,False,returned,7.0,0.214
PUR-829308,sports,177.85,2025-02-24 02:28:57,2,Monday,False,True,78,True,4,False,returned,19.0,0.85
PUR-664365,shoes,218.48,2025-02-07 04:24:57,4,Friday,False,False,21,True,6,True,returned,14.0,0.85
PUR-523956,books,29.53,2025-07-12 03:23:57,3,Saturday,True,False,44,True,7,True,kept,,0.246
PUR-188025,electronics,680.38,2025-09-23 21:20:57,21,Tuesday,False,False,42,True,7,False,kept,,0.518
PUR-898207,sports,75.89,2025-04-06 11:51:57,11,Sunday,True,False,281,False,7,True,returned,11.0,0.49
PUR-335113,sports,129.35,2025-04-27 08:01:57,8,Sunday,True,False,98,True,8,True,returned,12.0,0.85
PUR-350132,clothing,145.0,2024-12-30 15:06:57,15,Monday,False,False,46,True,4,True,returned,5.0,0.85
PUR-884256,electronics,405.17,2025-09-30 22:41:57,22,Tuesday,False,True,491,False,5,False,returned,20.0,0.57
PUR-515922,clothing,144.45,2025-09-06 07:48:57,7,Saturday,True,False,607,False,1,False,returned,13.0,0.588
PUR-226935,books,13.04,2024-12-09 20:39:57,20,Monday,False,False,119,True,5,False,kept,,0.115
PUR-210665,shoes,106.38,2025-04-22 19:31:57,19,Tuesday,False,False,85,True,6,True,returned,16.0,0.85
PUR-383201,sports,385.3,2025-01-07 02:09:57,2,Tuesday,False,True,171,False,7,True,returned,21.0,0.85
PUR-355709,toys,75.08,2025-01-29 08:34:57,8,Wednesday,False,False,887,False,4,False,returned,15.0,0.154
PUR-472060,toys,89.78,2024-12-21 04:33:57,4,Saturday,True,False,44,True,8,False,returned,7.0,0.387
PUR-855053,home_goods,112.0,2025-01-26 17:58:57,17,Sunday,True,False,297,False,1,False,returned,8.0,0.35
PUR-332360,sports,208.22,2025-07-27 18:24:57,18,Sunday,True,False,676,False,8,False,returned,10.0,0.383
PUR-882169,sports,284.42,2025-06-24 19:17:57,19,Tuesday,False,False,392,False,8,False,kept,,0.274
PUR-878967,beauty,51.94,2025-04-10 08:35:57,8,Thursday,False,False,272,False,4,True,returned,4.0,0.437
PUR-410636,electronics,193.66,2025-03-26 08:08:57,8,Wednesday,False,False,618,False,5,False,kept,,0.163
PUR-680238,books,24.44,2025-06-27 16:09:57,16,Friday,False,False,561,False,3,True,kept,,0.098
PUR-592198,home_goods,213.76,2025-09-24 19:59:57,19,Wednesday,False,False,785,False,8,True,returned,10.0,0.416
PUR-177680,toys,71.67,2025-08-26 15:38:57,15,Tuesday,False,False,897,False,8,True,returned,16.0,0.214
PUR-929151,shoes,63.38,2025-02-13 07:49:57,7,Thursday,False,False,269,False,2,False,returned,20.0,0.427
PUR-420214,books,41.03,2025-05-18 01:56:57,1,Sunday,True,True,468,False,5,False,kept,,0.182
PUR-678805,shoes,164.12,2025-10-09 10:14:57,10,Thursday,False,False,231,False,5,False,returned,6.0,0.367
PUR-837135,clothing,45.05,2025-05-03 02:10:57,2,Saturday,True,True,623,False,8,True,returned,10.0,0.85
PUR-779094,toys,19.97,2025-08-01 08:04:57,8,Friday,False,False,825,False,4,False,kept,,0.123
PUR-402630,electronics,731.31,2025-09-17 14:51:57,14,Wednesday,False,False,184,False,5,False,kept,,0.261
PUR-184349,toys,27.41,2024-12-11 07:10:57,7,Wednesday,False,False,427,False,5,False,kept,,0.117
PUR-715643,shoes,225.67,2025-06-15 21:38:57,21,Sunday,True,False,41,True,2,True,returned,19.0,0.85
PUR-290305,shoes,249.91,2024-12-19 08:18:57,8,Thursday,False,False,56,True,3,False,returned,9.0,0.85
PUR-445824,sports,263.04,2025-03-22 14:24:57,14,Saturday,True,False,371,False,7,True,returned,6.0,0.686
PUR-221552,sports,285.13,2025-07-03 19:29:57,19,Thursday,False,False,848,False,1,False,returned,11.0,0.392
PUR-752878,sports,349.34,2025-11-27 18:59:57,18,Thursday,False,False,570,False,8,False,returned,12.0,0.274
PUR-832168,toys,97.56,2025-11-02 10:37:57,10,Sunday,True,False,577,False,3,False,kept,,0.227
PUR-197736,toys,27.0,2025-01-09 21:03:57,21,Thursday,False,False,260,False,3,True,returned,14.0,0.221
PUR-633590,books,49.69,2025-10-01 02:47:57,2,Wednesday,False,True,678,False,3,False,kept,,0.144
PUR-632929,home_goods,133.41,2025-03-26 01:39:57,1,Wednesday,False,True,482,False,3,False,kept,,0.564
PUR-413058,electronics,698.02,2025-07-10 03:33:57,3,Thursday,False,False,821,False,5,False,kept,,0.261
PUR-577463,toys,131.14,2025-04-13 23:24:57,23,Sunday,True,True,368,False,6,False,kept,,0.487
PUR-433632,beauty,106.31,2024-12-06 09:18:57,9,Friday,False,False,407,False,4,False,kept,,0.257
PUR-718849,toys,108.73,2025-05-17 04:12:57,4,Saturday,True,False,826,False,3,False,returned,17.0,0.227
PUR-786587,beauty,106.32,2025-04-17 13:21:57,13,Thursday,False,False,482,False,1,False,kept,,0.3
PUR-993744,electronics,106.12,2025-07-16 06:15:57,6,Wednesday,False,False,724,False,7,False,kept,,0.147
PUR-346174,sports,382.8,2025-01-11 17:58:57,17,Saturday,True,False,792,False,8,False,returned,3.0,0.383
PUR-130353,home_goods,299.27,2025-10-13 03:48:57,3,Monday,False,False,793,False,2,False,kept,,0.332
PUR-814919,shoes,101.36,2025-10-31 07:32:57,7,Friday,False,False,398,False,7,True,returned,19.0,0.562
PUR-343467,electronics,177.49,2025-10-18 20:59:57,20,Saturday,True,False,406,False,4,False,kept,,0.24
PUR-265649,toys,99.31,2025-04-07 08:12:57,8,Monday,False,False,24,True,8,False,kept,,0.277
PUR-308894,clothing,90.68,2025-06-04 22:35:57,22,Wednesday,False,True,669,False,7,False,returned,10.0,0.772
PUR-409571,sports,345.0,2025-10-05 09:30:57,9,Sunday,True,False,600,False,6,False,kept,,0.425
PUR-913423,shoes,245.15,2024-12-26 04:37:57,4,Thursday,False,False,23,True,1,False,returned,10.0,0.85
PUR-791201,books,34.28,2025-06-01 09:14:57,9,Sunday,True,False,209,False,5,False,kept,,0.073
PUR-194511,electronics,521.19,2025-01-10 20:52:57,20,Friday,False,False,331,False,8,True,returned,5.0,0.38
PUR-970813,home_goods,108.11,2025-04-30 11:42:57,11,Wednesday,False,False,150,False,6,False,kept,,0.193
PUR-809176,electronics,242.73,2025-03-27 07:07:57,7,Thursday,False,False,361,False,2,False,returned,8.0,0.266
PUR-486490,sports,387.73,2025-02-16 05:49:57,5,Sunday,True,False,824,False,7,True,returned,15.0,0.686
PUR-688678,home_goods,181.6,2025-01-06 05:48:57,5,Monday,False,False,706,False,4,False,kept,,0.214
PUR-528129,beauty,111.1,2025-08-06 20:50:57,20,Wednesday,False,False,665,False,8,False,kept,,0.21
PUR-575679,clothing,42.36,2025-11-09 07:23:57,7,Sunday,True,False,133,False,2,True,returned,13.0,0.76
PUR-745558,beauty,85.4,2024-12-06 23:28:57,23,Friday,False,True,616,False,3,False,returned,16.0,0.677
PUR-997004,sports,377.14,2025-07-08 15:10:57,15,Tuesday,False,False,394,False,4,False,kept,,0.336
PUR-989227,beauty,25.43,2024-12-12 05:20:57,5,Thursday,False,False,675,False,6,True,returned,4.0,0.316
PUR-232040,toys,22.83,2025-08-11 20:14:57,20,Monday,False,False,626,False,1,True,kept,,0.245
PUR-724932,books,12.74,2025-02-18 10:17:57,10,Tuesday,False,False,236,False,4,True,kept,,0.093
PUR-238205,shoes,91.0,2025-09-15 12:20:57,12,Monday,False,False,271,False,3,True,kept,,0.69
PUR-651640,shoes,108.81,2025-07-29 22:34:57,22,Tuesday,False,True,31,True,3,True,returned,14.0,0.85
PUR-145471,clothing,139.31,2025-03-30 02:05:57,2,Sunday,True,True,385,False,2,False,returned,20.0,0.85
PUR-177060,home_goods,145.54,2025-11-13 15:24:57,15,Thursday,False,False,882,False,7,False,returned,15.0,0.184
PUR-409222,clothing,71.54,2025-09-14 14:46:57,14,Sunday,True,False,296,False,6,False,kept,,0.455
PUR-906315,toys,80.78,2025-04-22 13:04:57,13,Tuesday,False,False,733,False,2,False,kept,,0.171
PUR-427730,books,27.2,2025-08-04 03:33:57,3,Monday,False,False,862,False,8,False,kept,,0.045
PUR-197758,sports,142.2,2025-07-21 05:45:57,5,Monday,False,False,718,False,8,True,kept,,0.332
PUR-856086,sports,61.21,2025-05-22 12:19:57,12,Thursday,False,False,76,True,6,False,returned,14.0,0.477
PUR-467121,shoes,243.05,2025-01-25 07:32:57,7,Saturday,True,False,121,False,4,True,returned,4.0,0.85
PUR-958182,beauty,27.06,2025-07-08 22:40:57,22,Tuesday,False,True,841,False,7,False,kept,,0.441
PUR-468074,shoes,163.98,2024-12-26 18:37:57,18,Thursday,False,False,44,True,3,True,returned,11.0,0.85
PUR-196214,shoes,69.91,2025-09-15 22:12:57,22,Monday,False,True,425,False,2,True,returned,1.0,0.85
PUR-695164,books,25.05,2025-04-10 06:44:57,6,Thursday,False,False,393,False,5,False,kept,,0.052
PUR-609253,clothing,161.33,2025-09-10 11:06:57,11,Wednesday,False,False,647,False,1,False,returned,14.0,0.42
PUR-610271,toys,67.99,2025-08-10 00:47:57,0,Sunday,True,True,368,False,7,True,returned,19.0,0.787
PUR-901280,home_goods,27.94,2025-05-09 21:51:57,21,Friday,False,False,22,True,4,True,returned,5.0,0.641
PUR-624563,home_goods,97.49,2025-09-28 16:23:57,16,Sunday,True,False,779,False,7,True,returned,8.0,0.437
PUR-701253,beauty,22.57,2025-11-07 03:53:57,3,Friday,False,False,485,False,2,False,kept,,0.228
PUR-582446,sports,291.06,2025-04-29 07:47:57,7,Tuesday,False,False,429,False,1,False,returned,20.0,0.392
PUR-425346,beauty,24.25,2025-10-05 09:27:57,9,Sunday,True,False,618,False,7,False,kept,,0.247
PUR-468154,beauty,38.27,2025-09-03 14:22:57,14,Wednesday,False,False,663,False,2,False,returned,12.0,0.228
PUR-285751,electronics,227.2,2025-09-15 08:42:57,8,Monday,False,False,192,False,3,False,kept,,0.253
PUR-258290,toys,74.95,2025-02-12 22:26:57,22,Wednesday,False,True,712,False,6,False,kept,,0.348
PUR-177794,toys,19.56,2025-04-15 20:35:57,20,Tuesday,False,False,830,False,5,False,kept,,0.117
PUR-996840,home_goods,146.6,2025-11-09 15:31:57,15,Sunday,True,False,866,False,5,True,kept,,0.485
PUR-783501,clothing,118.4,2025-03-14 04:25:57,4,Friday,False,False,609,False,1,False,kept,,0.42
PUR-460120,books,22.86,2025-03-30 00:45:57,0,Sunday,True,True,78,True,8,True,kept,,0.585
PUR-739427,clothing,100.73,2025-09-01 15:39:57,15,Monday,False,False,739,False,8,False,kept,,0.293
PUR-778748,electronics,322.92,2025-07-07 04:28:57,4,Monday,False,False,808,False,6,False,returned,21.0,0.217
PUR-731977,beauty,21.92,2025-10-10 23:11:57,23,Friday,False,True,410,False,5,True,kept,,0.831
PUR-510997,electronics,300.02,2025-02-02 19:45:57,19,Sunday,True,False,373,False,5,False,kept,,0.319
PUR-969226,electronics,496.28,2025-10-16 07:19:57,7,Thursday,False,False,400,False,6,False,kept,,0.217
PUR-458332,clothing,123.36,2025-04-26 00:31:57,0,Saturday,True,True,33,True,6,True,kept,,0.85
PUR-874524,toys,36.88,2025-09-19 12:50:57,12,Friday,False,False,317,False,2,False,kept,,0.137
PUR-908554,shoes,175.62,2025-01-16 12:16:57,12,Thursday,False,False,400,False,3,True,kept,,0.69
PUR-888939,electronics,590.89,2025-11-06 03:31:57,3,Thursday,False,False,707,False,4,False,kept,,0.274
PUR-811256,toys,42.76,2025-07-29 07:03:57,7,Tuesday,False,False,818,False,8,False,kept,,0.101
PUR-940181,toys,74.64,2025-07-07 04:22:57,4,Monday,False,False,555,False,7,False,kept,,0.132
PUR-230734,electronics,704.75,2025-11-01 20:24:57,20,Saturday,True,False,395,False,2,False,kept,,0.426
PUR-956375,home_goods,38.9,2025-09-07 08:26:57,8,Sunday,True,False,540,False,3,False,returned,8.0,0.253
PUR-493124,toys,133.85,2025-11-15 03:51:57,3,Saturday,True,False,420,False,6,True,kept,,0.331
PUR-970068,books,11.13,2025-10-08 18:13:57,18,Wednesday,False,False,358,False,3,True,kept,,0.098
PUR-975522,toys,107.45,2025-09-17 18:24:57,18,Wednesday,False,False,474,False,1,False,returned,7.0,0.18
PUR-540218,electronics,461.6,2025-01-21 00:27:57,0,Tuesday,False,True,128,False,5,True,returned,8.0,0.85
PUR-101640,toys,18.79,2025-03-17 21:20:57,21,Monday,False,False,31,True,4,False,kept,,0.272
PUR-651613,beauty,40.26,2025-04-29 11:12:57,11,Tuesday,False,False,699,False,2,False,kept,,0.228
PUR-461551,shoes,115.9,2025-04-02 15:14:57,15,Wednesday,False,False,411,False,6,True,returned,3.0,0.592
PUR-454992,books,39.32,2025-01-11 13:05:57,13,Saturday,True,False,610,False,6,True,kept,,0.118
PUR-138780,electronics,672.79,2024-12-13 02:10:57,2,Friday,False,True,505,False,3,False,returned,15.0,0.722
PUR-365618,home_goods,72.45,2025-08-18 15:34:57,15,Monday,False,False,332,False,7,False,kept,,0.184
PUR-938171,shoes,195.72,2025-08-23 07:32:57,7,Saturday,True,False,897,False,1,False,returned,4.0,0.63
PUR-621691,beauty,60.88,2025-05-07 17:26:57,17,Wednesday,False,False,410,False,6,False,kept,,0.232
PUR-671971,beauty,112.05,2025-03-08 08:03:57,8,Saturday,True,False,99,True,7,True,returned,6.0,0.85
PUR-274739,home_goods,106.55,2025-10-19 06:12:57,6,Sunday,True,False,317,False,5,False,kept,,0.285
PUR-160144,toys,59.22,2025-11-06 16:59:57,16,Thursday,False,False,376,False,7,True,kept,,0.225
PUR-811027,clothing,127.39,2025-05-05 05:22:57,5,Monday,False,False,835,False,3,False,returned,20.0,0.379
PUR-133958,toys,14.87,2025-10-25 09:05:57,9,Saturday,True,False,675,False,6,False,kept,,0.156
PUR-517368,electronics,559.3,2025-05-23 05:26:57,5,Friday,False,False,796,False,2,False,kept,,0.304
PUR-688956,beauty,83.2,2025-07-24 13:53:57,13,Thursday,False,False,768,False,3,False,kept,,0.271
PUR-309902,clothing,61.88,2025-07-17 18:26:57,18,Thursday,False,False,234,False,5,False,kept,,0.342
PUR-986593,clothing,41.72,2025-10-22 02:43:57,2,Wednesday,False,True,745,False,8,False,kept,,0.587
PUR-846385,beauty,85.12,2024-11-30 14:19:57,14,Saturday,True,False,570,False,5,False,kept,,0.342
PUR-478427,electronics,645.27,2025-03-13 09:47:57,9,Thursday,False,False,220,False,3,True,kept,,0.491
PUR-853789,beauty,64.08,2025-02-19 12:15:57,12,Wednesday,False,False,103,True,2,True,kept,,0.85
PUR-813145,toys,83.6,2025-05-02 22:50:57,22,Friday,False,True,143,False,6,False,kept,,0.348
PUR-158104,beauty,28.48,2025-02-18 20:17:57,20,Tuesday,False,False,201,False,3,False,kept,,0.217
PUR-397846,clothing,102.9,2025-06-26 11:44:57,11,Thursday,False,False,345,False,4,True,kept,,0.612
PUR-276827,clothing,60.1,2025-01-06 23:37:57,23,Monday,False,True,143,False,5,False,returned,21.0,0.85
PUR-965322,electronics,178.4,2025-01-12 16:57:57,16,Sunday,True,False,634,False,6,False,kept,,0.217
PUR-131757,shoes,47.87,2025-01-03 22:38:57,22,Friday,False,True,681,False,4,False,returned,21.0,0.772
PUR-525818,toys,134.46,2025-02-22 07:13:57,7,Saturday,True,False,324,False,8,True,kept,,0.299
PUR-736129,home_goods,144.26,2024-12-11 15:44:57,15,Wednesday,False,False,465,False,7,False,kept,,0.184
PUR-688933,electronics,284.44,2025-06-17 16:59:57,16,Tuesday,False,False,368,False,7,True,kept,,0.35
PUR-745270,clothing,71.06,2025-04-04 13:37:57,13,Friday,False,False,475,False,4,True,returned,13.0,0.612
PUR-589491,sports,118.1,2025-09-08 05:55:57,5,Monday,False,False,606,False,6,True,returned,17.0,0.368
PUR-470037,toys,133.07,2025-03-19 16:49:57,16,Wednesday,False,False,417,False,8,False,kept,,0.126
PUR-551860,shoes,41.12,2025-03-19 20:58:57,20,Wednesday,False,False,878,False,8,True,returned,4.0,0.427
PUR-680096,electronics,711.84,2025-05-25 04:31:57,4,Sunday,True,False,61,True,7,True,returned,12.0,0.85
PUR-740725,home_goods,35.96,2025-03-15 02:06:57,2,Saturday,True,True,578,False,5,False,kept,,0.57
PUR-251275,clothing,40.59,2025-10-10 04:31:57,4,Friday,False,False,828,False,6,False,kept,,0.26
PUR-644559,books,34.1,2025-05-07 00:52:57,0,Wednesday,False,True,61,True,1,True,returned,16.0,0.598
PUR-875232,toys,30.85,2025-03-10 12:34:57,12,Monday,False,False,642,False,6,True,kept,,0.189
PUR-806537,home_goods,184.21,2025-03-14 00:20:57,0,Friday,False,True,516,False,5,False,returned,11.0,0.509
PUR-920934,clothing,176.78,2025-02-03 07:04:57,7,Monday,False,False,757,False,1,False,returned,21.0,0.42
PUR-133104,books,38.86,2025-02-03 01:44:57,1,Monday,False,True,551,False,7,True,kept,,0.2
PUR-912617,clothing,50.53,2025-04-17 06:28:57,6,Thursday,False,False,170,False,7,False,kept,,0.309
PUR-601608,toys,132.19,2025-10-27 18:46:57,18,Monday,False,False,546,False,4,False,kept,,0.154
PUR-855944,sports,142.66,2025-09-01 01:56:57,1,Monday,False,True,560,False,6,False,kept,,0.542
PUR-412071,home_goods,188.87,2025-08-22 09:37:57,9,Friday,False,False,586,False,5,True,kept,,0.346
PUR-934042,home_goods,215.9,2024-12-09 18:23:57,18,Monday,False,False,339,False,8,True,kept,,0.416
PUR-943700,home_goods,97.02,2025-02-07 19:20:57,19,Friday,False,False,403,False,7,False,kept,,0.184
PUR-324381,electronics,267.84,2025-07-03 18:49:57,18,Thursday,False,False,369,False,8,False,kept,,0.196
PUR-350905,books,43.12,2025-07-12 23:10:57,23,Saturday,True,True,293,False,3,True,kept,,0.344
PUR-595351,books,12.03,2025-03-02 09:14:57,9,Sunday,True,False,253,False,1,True,kept,,0.152
PUR-598807,clothing,128.99,2025-09-19 16:19:57,16,Friday,False,False,176,False,7,False,kept,,0.309
PUR-343500,toys,101.08,2025-07-04 06:36:57,6,Friday,False,False,676,False,1,False,returned,19.0,0.18
PUR-926236,shoes,230.91,2025-08-31 02:58:57,2,Sunday,True,True,872,False,3,False,returned,13.0,0.85
PUR-576419,toys,36.08,2025-07-03 15:54:57,15,Thursday,False,False,320,False,2,False,kept,,0.137
PUR-779776,toys,134.5,2025-09-21 00:25:57,0,Sunday,True,True,294,False,4,False,returned,15.0,0.54
PUR-284019,home_goods,219.8,2025-11-20 17:33:57,17,Thursday,False,False,824,False,5,False,kept,,0.285
PUR-360096,sports,335.12,2025-03-10 06:49:57,6,Monday,False,False,425,False,2,True,returned,11.0,0.633
PUR-374258,shoes,87.37,2025-07-31 02:06:57,2,Thursday,False,True,288,False,6,True,returned,1.0,0.85
PUR-837733,beauty,87.74,2025-10-27 19:47:57,19,Monday,False,False,491,False,5,True,kept,,0.415
PUR-577079,home_goods,211.73,2025-01-05 07:31:57,7,Sunday,True,False,644,False,4,True,returned,5.0,0.714
PUR-724756,beauty,58.66,2025-02-20 01:06:57,1,Thursday,False,True,565,False,4,False,kept,,0.643
PUR-311976,clothing,104.08,2025-03-02 18:31:57,18,Sunday,True,False,94,True,2,True,returned,17.0,0.85
PUR-635167,electronics,173.4,2025-03-07 02:47:57,2,Friday,False,True,711,False,4,False,kept,,0.429
PUR-805448,toys,123.22,2025-04-10 12:22:57,12,Thursday,False,False,440,False,8,False,kept,,0.126
PUR-834406,home_goods,221.13,2025-05-10 08:02:57,8,Saturday,True,False,18,True,4,False,returned,12.0,0.85
PUR-903028,clothing,106.59,2025-10-29 13:55:57,13,Wednesday,False,False,498,False,1,True,returned,5.0,0.714
PUR-665497,sports,165.42,2025-05-17 01:59:57,1,Saturday,True,True,401,False,7,True,kept,,0.85
PUR-333507,electronics,540.15,2025-06-03 13:43:57,13,Tuesday,False,False,565,False,7,False,kept,,0.235
PUR-583000,shoes,196.36,2025-06-29 02:11:57,2,Sunday,True,True,751,False,7,False,returned,8.0,0.85
PUR-903265,beauty,31.29,2025-08-23 17:06:57,17,Saturday,True,False,130,False,1,False,kept,,0.336
PUR-356622,shoes,82.95,2025-10-25 13:16:57,13,Saturday,True,False,49,True,8,False,returned,2.0,0.85
PUR-345536,shoes,118.5,2025-07-31 23:41:57,23,Thursday,False,True,787,False,1,True,kept,,0.85
PUR-533649,beauty,75.63,2024-12-19 06:39:57,6,Thursday,False,False,324,False,3,False,kept,,0.271
PUR-619696,home_goods,93.42,2025-02-15 21:58:57,21,Saturday,True,False,767,False,3,False,kept,,0.316
PUR-494747,shoes,243.9,2025-01-02 19:30:57,19,Thursday,False,False,819,False,6,False,returned,10.0,0.487
PUR-160423,electronics,615.81,2025-03-31 09:00:57,9,Monday,False,False,245,False,5,False,returned,15.0,0.261
PUR-571635,sports,387.92,2025-02-16 00:46:57,0,Sunday,True,True,412,False,4,True,returned,3.0,0.85
PUR-859489,beauty,24.71,2025-08-23 15:37:57,15,Saturday,True,False,401,False,1,False,returned,19.0,0.336
PUR-223014,books,29.18,2025-06-11 06:56:57,6,Wednesday,False,False,30,True,4,False,kept,,0.121
PUR-913185,toys,138.02,2024-12-06 21:09:57,21,Friday,False,False,224,False,7,False,kept,,0.132
PUR-588640,home_goods,123.49,2025-02-27 20:32:57,20,Thursday,False,False,330,False,5,False,kept,,0.204
